orgName,inviteCode
Downtown,r34C2
NormalStation,4FAwC
SouthMain,CCkRl
CooperYoung,r8i0Q
Whitehaven,tqZMi
Frayser,nQwDh
Raleigh,l3U2N
Midtown,bxzC4
Binghampton,vQOTh
Chicasaw,ac0Yb
